SKU;Ürün Adı;Marka;Model;Kategori;Fiyat TL (KDV dahil);İşlev Grubu;Kullanım Yeri;Uygun Olduğu Sistemler;Açıklama
ARUKR11075;KAPLİN REDÜKSİYON 110X75;Arangül;110X75;Kaplin;453,53;PE reduksiyon kaplin;110 mm PE borudan 75 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;110x75 ölçülerinde, 110 mm PE ana hattı 75 mm hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR11090;KAPLİN REDÜKSİYON 110X90;Arangül;110X90;Kaplin;453,53;PE reduksiyon kaplin;110 mm PE borudan 90 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama ana hatları, büyük peyzaj alanları, endüstriyel sulama;110x90 ölçülerinde, 110 mm PE ana hattı 90 mm hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR2520;KAPLİN REDÜKSİYON 25X20;Arangül;25X20;Kaplin;22,03;PE reduksiyon kaplin;25 mm PE borudan 20 mm PE boruya düz reduksiyon bağlantı için kullanılır.;çim sulama lateralleri, damla sulama, hobi ve peyzaj bahçeleri;25x20 ölçülerinde, 25 mm PE hattı 20 mm hatta düşürmek veya iki farklı çapı birleştirmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR3220;KAPLİN REDÜKSİYON 32X20;Arangül;32X20;Kaplin;24,62;PE reduksiyon kaplin;32 mm PE borudan 20 mm PE boruya düz reduksiyon bağlantı için kullanılır.;çim sulama, damla sulama, peyzaj ve tarla sulama;32x20 ölçülerinde, 32 mm PE hattı 20 mm hatta indirerek yan hatlara geçiş sağlamak için kullanılan geçmeli reduksiyon kaplindir.
ARUKR3225;KAPLİN REDÜKSİYON 32X25;Arangül;32X25;Kaplin;24,62;PE reduksiyon kaplin;32 mm PE borudan 25 mm PE boruya düz reduksiyon bağlantı için kullanılır.;çim sulama, damla sulama, peyzaj bahçesi, hobi bahçeleri;32x25 ölçülerinde, 32 mm PE ana veya yan hattı 25 mm hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR4025;KAPLİN REDÜKSİYON 40X25;Arangül;40X25;Kaplin;54,43;PE reduksiyon kaplin;40 mm PE borudan 25 mm PE boruya düz reduksiyon bağlantı için kullanılır.;çim sulama, tarla sulama, peyzaj sistemleri;40x25 ölçülerinde, 40 mm PE hattı 25 mm hatta düşürmek veya farklı çaplı hatları birleştirmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR4032;KAPLİN REDÜKSİYON 40X32;Arangül;40X32;Kaplin;54,43;PE reduksiyon kaplin;40 mm PE borudan 32 mm PE boruya düz reduksiyon bağlantı için kullanılır.;çim sulama ana–yan hatları, tarla sulama, peyzaj;40x32 ölçülerinde, 40 mm PE ana hattı 32 mm yan hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR5032;KAPLİN REDÜKSİYON 50X32;Arangül;50X32;Kaplin;76,45;PE reduksiyon kaplin;50 mm PE borudan 32 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama, peyzaj sulaması, endüstriyel sulama;50x32 ölçülerinde, 50 mm PE ana hattı 32 mm hatta indirerek daha küçük yan hatlara geçiş için kullanılan geçmeli reduksiyon kaplindir.
ARUKR5040;KAPLİN REDÜKSİYON 50X40;Arangül;50X40;Kaplin;76,45;PE reduksiyon kaplin;50 mm PE borudan 40 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama, peyzaj ve endüstriyel sulama sistemleri;50x40 ölçülerinde, 50 mm PE hattı 40 mm hatta düşürmek veya iki farklı çapı birleştirmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR6340;KAPLİN REDÜKSİYON 63X40;Arangül;63X40;Kaplin;164,44;PE reduksiyon kaplin;63 mm PE borudan 40 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama, geniş peyzaj alanları, endüstriyel sulama;63x40 ölçülerinde, 63 mm PE ana hattı 40 mm hatta indirerek daha küçük yan hatlara geçiş için kullanılan geçmeli reduksiyon kaplindir.
ARUKR6350;KAPLİN REDÜKSİYON 63X50;Arangül;63X50;Kaplin;164,44;PE reduksiyon kaplin;63 mm PE borudan 50 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama, büyük peyzaj, endüstriyel sulama sistemleri;63x50 ölçülerinde, 63 mm PE ana hattı 50 mm hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR7550;KAPLİN REDÜKSİYON 75X50;Arangül;75X50;Kaplin;212,52;PE reduksiyon kaplin;75 mm PE borudan 50 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama ana hatları, büyük peyzaj alanları, endüstriyel sulama;75x50 ölçülerinde, 75 mm PE ana hattı 50 mm hatta indirerek yan hatlara geçiş sağlamak için kullanılan geçmeli reduksiyon kaplindir.
ARUKR7563;KAPLİN REDÜKSİYON 75X63;Arangül;75X63;Kaplin;212,52;PE reduksiyon kaplin;75 mm PE borudan 63 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;75x63 ölçülerinde, 75 mm PE ana hattı 63 mm hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKR9063;KAPLİN REDÜKSİYON 90X63;Arangül;90X63;Kaplin;290,26;PE reduksiyon kaplin;90 mm PE borudan 63 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama, büyük peyzaj alanları, endüstriyel sulama sistemleri;90x63 ölçülerinde, 90 mm PE ana hattı 63 mm hatta indirerek daha küçük hatlara geçiş için kullanılan geçmeli reduksiyon kaplindir.
ARUKR9075;KAPLİN REDÜKSİYON 90X75;Arangül;90X75;Kaplin;290,26;PE reduksiyon kaplin;90 mm PE borudan 75 mm PE boruya düz reduksiyon bağlantı için kullanılır.;tarla sulama, büyük peyzaj, endüstriyel sulama sistemleri;90x75 ölçülerinde, 90 mm PE ana hattı 75 mm hatta indirerek çap küçültmek için kullanılan geçmeli reduksiyon kaplindir.
ARUKRT11063;KAPLİN REDÜKSİYON TE 110x63x110;Arangül; 110x63x110;Kaplin;1006,69;PE reduksiyon T kaplin;110 mm PE ana hat üzerinde 63 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, büyük peyzaj alanları, endüstriyel sulama;110x63x110 ölçülerinde, 110 mm PE ana hattı seri devam ettirirken 63 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT11075;KAPLİN REDÜKSİYON TE 110x75x110;Arangül; 110x75x110;Kaplin;1006,69;PE reduksiyon T kaplin;110 mm PE ana hat üzerinde 75 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;110x75x110 ölçülerinde, 110 mm PE ana hattan 75 mm yan hatta branşman almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT11090;KAPLİN REDÜKSİYON TE 110x90x110;Arangül; 110x90x110;Kaplin;1006,69;PE reduksiyon T kaplin;110 mm PE ana hat üzerinde 90 mm yan branşman almak için kullanılır.;tarla sulama, büyük peyzaj alanları, endüstriyel sulama sistemleri;110x90x110 ölçülerinde, 110 mm PE ana hattı seri devam ettirirken 90 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT2520;KAPLİN REDÜKSİYON TE 25X20X25;Arangül; 25X20X25;Kaplin;59,03;PE reduksiyon T kaplin;25 mm PE hat üzerinde 20 mm yan branşman almak için kullanılır.;çim sulama lateralleri, damla sulama, hobi ve peyzaj bahçeleri;25x20x25 ölçülerinde, 25 mm PE hattı devam ettirirken 20 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT3220;KAPLİN REDÜKSİYON TE 32X20X32;Arangül; 32X20X32;Kaplin;72,11;PE reduksiyon T kaplin;32 mm PE hat üzerinde 20 mm yan branşman almak için kullanılır.;çim sulama, damla sulama, peyzaj ve tarla sulama;32x20x32 ölçülerinde, 32 mm PE hattı seri devam ettirirken 20 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT3225;KAPLİN REDÜKSİYON TE 32X25X32;Arangül; 32X25X32;Kaplin;72,11;PE reduksiyon T kaplin;32 mm PE hat üzerinde 25 mm yan branşman almak için kullanılır.;çim sulama, damla sulama, peyzaj bahçesi, hobi bahçeleri;32x25x32 ölçülerinde, 32 mm PE hattı devam ettirirken 25 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT4025;KAPLİN REDÜKSİYON TE 40X25X40;Arangül; 40X25X40;Kaplin;115,25;PE reduksiyon T kaplin;40 mm PE hat üzerinde 25 mm yan branşman almak için kullanılır.;çim sulama ana–yan hatları, tarla sulama, peyzaj;40x25x40 ölçülerinde, 40 mm PE hattı seri devam ettirirken 25 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT4032;KAPLİN REDÜKSİYON TE 40X32X40;Arangül; 40X32X40;Kaplin;115,25;PE reduksiyon T kaplin;40 mm PE hat üzerinde 32 mm yan branşman almak için kullanılır.;çim sulama, tarla sulama, peyzaj sistemleri;40x32x40 ölçülerinde, 40 mm PE hattı devam ettirirken 32 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT5032;KAPLİN REDÜKSİYON TE 50X32X50;Arangül; 50X32X50;Kaplin;158,40;PE reduksiyon T kaplin;50 mm PE ana hat üzerinde 32 mm yan branşman almak için kullanılır.;tarla sulama, peyzaj sulaması, endüstriyel sulama;50x32x50 ölçülerinde, 50 mm PE ana hattan 32 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT5040;KAPLİN REDÜKSİYON TE 50X40X50;Arangül; 50X40X50;Kaplin;158,40;PE reduksiyon T kaplin;50 mm PE ana hat üzerinde 40 mm yan branşman almak için kullanılır.;tarla sulama, peyzaj, endüstriyel sulama sistemleri;50x40x50 ölçülerinde, 50 mm PE ana hattı seri devam ettirirken 40 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT6332;KAPLİN REDÜKSİYON TE 63X32X63;Arangül; 63X32X63;Kaplin;227,82;PE reduksiyon T kaplin;63 mm PE ana hat üzerinde 32 mm yan branşman almak için kullanılır.;tarla sulama, geniş peyzaj alanları, endüstriyel sulama;63x32x63 ölçülerinde, 63 mm PE ana hattan 32 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT6340;KAPLİN REDÜKSİYON TE 63X40X63;Arangül; 63X40X63;Kaplin;227,82;PE reduksiyon T kaplin;63 mm PE ana hat üzerinde 40 mm yan branşman almak için kullanılır.;tarla sulama, büyük peyzaj, endüstriyel sulama;63x40x63 ölçülerinde, 63 mm PE ana hattan 40 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT6350;KAPLİN REDÜKSİYON TE 63X50X63;Arangül; 63X50X63;Kaplin;227,82;PE reduksiyon T kaplin;63 mm PE ana hat üzerinde 50 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, büyük peyzaj alanları, endüstriyel sulama;63x50x63 ölçülerinde, 63 mm PE ana hattan 50 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT7550;KAPLİN REDÜKSİYON TE 75X50X75;Arangül; 75X50X75;Kaplin;445,07;PE reduksiyon T kaplin;75 mm PE ana hat üzerinde 50 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;75x50x75 ölçülerinde, 75 mm PE ana hattan 50 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT7563;KAPLİN REDÜKSİYON TE 75X63X75;Arangül; 75X63X75;Kaplin;445,07;PE reduksiyon T kaplin;75 mm PE ana hat üzerinde 63 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, geniş peyzaj alanları, endüstriyel sulama;75x63x75 ölçülerinde, 75 mm PE ana hattan 63 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT9063;KAPLİN REDÜKSİYON TE 90X63X90;Arangül; 90X63X90;Kaplin;709,98;PE reduksiyon T kaplin;90 mm PE ana hat üzerinde 63 mm yan branşman almak için kullanılır.;tarla sulama, büyük peyzaj alanları, endüstriyel sulama sistemleri;90x63x90 ölçülerinde, 90 mm PE ana hattan 63 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKRT9075;KAPLİN REDÜKSİYON TE 90X75X90;Arangül; 90X75X90;Kaplin;709,98;PE reduksiyon T kaplin;90 mm PE ana hat üzerinde 75 mm yan branşman almak için kullanılır.;tarla sulama, büyük peyzaj, endüstriyel sulama sistemleri;90x75x90 ölçülerinde, 90 mm PE ana hattan 75 mm hatta yan çıkış almak için kullanılan geçmeli reduksiyon T kaplindir.
ARUKTA110;KAPLİN TAPA 110;Arangül;110;Kaplin;429,74;PE kaplin tapa;110 mm PE boru hattının sonunu kapatmak için kullanılır.;tarla sulama ana hatları, büyük peyzaj alanları, endüstriyel sulama;110 mm PE boru uçlarını kapatarak hattı sonlandırmak ve su sızıntısını önlemek için kullanılan geçmeli kapatma tapasidir.
ARUKTA20;KAPLİN TAPA 20;Arangül;20;Kaplin;15,55;PE kaplin tapa;20 mm PE boru hattının sonunu kapatmak için kullanılır.;çim sulama lateralleri, damla sulama, hobi ve peyzaj bahçeleri;20 mm PE boru uçlarını kapatarak hattı sonlandırmak veya geçici olarak kesmek için kullanılan geçmeli kaplin tapasidir.
ARUKTA25;KAPLİN TAPA 25;Arangül;25;Kaplin;20,39;PE kaplin tapa;25 mm PE boru hattının sonunu kapatmak için kullanılır.;çim sulama, damla sulama, peyzaj ve hobi bahçeleri;25 mm PE boru uçlarını kapatarak hattı sonlandırmak veya bakım amaçlı kapatmak için kullanılan geçmeli kaplin tapasidir.
ARUKTA32;KAPLİN TAPA 32;Arangül;32;Kaplin;26,11;PE kaplin tapa;32 mm PE boru hattının sonunu kapatmak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi;32 mm PE boru uçlarını kapatarak hattı sonlandırmak ve su sızıntısını engellemek için kullanılan geçmeli kaplin tapasidir.
ARUKTA40;KAPLİN TAPA 40;Arangül;40;Kaplin;40,94;PE kaplin tapa;40 mm PE boru hattının sonunu kapatmak için kullanılır.;çim sulama ana–yan hatları, tarla sulama, peyzaj;40 mm PE boru uçlarını kapatıp hattı güvenli şekilde sonlandırmak için kullanılan geçmeli kaplin tapasidir.
ARUKTA50;KAPLİN TAPA 50;Arangül;50;Kaplin;67,25;PE kaplin tapa;50 mm PE boru hattının sonunu kapatmak için kullanılır.;tarla sulama, peyzaj sulaması, endüstriyel sulama sistemleri;50 mm PE boru uçlarını kapatarak ana veya yan hattı sonlandırmak için kullanılan geçmeli kaplin tapasidir.
ARUKTA63;KAPLİN TAPA 63;Arangül;63;Kaplin;96,62;PE kaplin tapa;63 mm PE boru hattının sonunu kapatmak için kullanılır.;tarla sulama, geniş peyzaj alanları, endüstriyel sulama;63 mm PE boru uçlarını kapatarak hattı sonlandırmak ve su sızıntısını önlemek için kullanılan geçmeli kaplin tapasidir.
ARUKTA75;KAPLİN TAPA 75;Arangül;75;Kaplin;186,97;PE kaplin tapa;75 mm PE boru hattının sonunu kapatmak için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;75 mm PE boru uçlarını kapatarak büyük çaplı ana hatları sonlandırmak için kullanılan geçmeli kaplin tapasidir.
ARUKTA90;KAPLİN TAPA 90;Arangül;90;Kaplin;261,70;PE kaplin tapa;90 mm PE boru hattının sonunu kapatmak için kullanılır.;tarla sulama, büyük peyzaj alanları, endüstriyel sulama sistemleri;90 mm PE boru uçlarını kapatarak ana hattı sonlandırmak ve su kaçaklarını önlemek için kullanılan geçmeli kaplin tapasidir.
ARUKTE110;KAPLİN TE 110x110x110;Arangül; 110x110x110;Kaplin;1290,15;PE eşit T kaplin;110 mm PE ana hat üzerinde 110 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;110x110x110 ölçülerinde, 110 mm PE ana hattan aynı çapta iki kola daha branşman almak için kullanılan geçmeli eşit T kaplindir.
ARUKTE20;KAPLİN TE 20X20X20;Arangül; 20X20X20;Kaplin;47,17;PE eşit T kaplin;20 mm PE boru hattından 20 mm yan branşman almak için kullanılır.;çim sulama lateralleri, damla sulama, hobi ve peyzaj bahçeleri;20x20x20 ölçülerinde, 20 mm PE boru hattını üç yöne bölmek için kullanılan geçmeli eşit T kaplindir.
ARUKTE25;KAPLİN TE 25X25X25;Arangül; 25X25X25;Kaplin;58,29;PE eşit T kaplin;25 mm PE boru hattından 25 mm yan branşman almak için kullanılır.;çim sulama, damla sulama, peyzaj ve hobi bahçeleri;25x25x25 ölçülerinde, 25 mm PE hattını üç kola ayırmak veya yan hatlar oluşturmak için kullanılan geçmeli eşit T kaplindir.
ARUKTE32;KAPLİN TE 32X32X32;Arangül; 32X32X32;Kaplin;77,43;PE eşit T kaplin;32 mm PE boru hattından 32 mm yan branşman almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi;32x32x32 ölçülerinde, 32 mm PE ana veya yan hattı üç yöne bölen geçmeli eşit T kaplindir.
ARUKTE40;KAPLİN TE 40X40X40;Arangül; 40X40X40;Kaplin;129,29;PE eşit T kaplin;40 mm PE boru hattından 40 mm yan branşman almak için kullanılır.;çim sulama ana–yan hatları, tarla sulama, peyzaj;40x40x40 ölçülerinde, 40 mm PE hattını üç kola ayırmak için kullanılan geçmeli eşit T kaplindir.
ARUKTE50;KAPLİN TE 50X50X50;Arangül; 50X50X50;Kaplin;195,24;PE eşit T kaplin;50 mm PE boru hattından 50 mm yan branşman almak için kullanılır.;tarla sulama, peyzaj sulaması, endüstriyel sulama sistemleri;50x50x50 ölçülerinde, 50 mm PE ana hattı üç yöne bölmek veya yan hatlar almak için kullanılan geçmeli eşit T kaplindir.
ARUKTE63;KAPLİN TE 63X63X63;Arangül; 63X63X63;Kaplin;239,67;PE eşit T kaplin;63 mm PE boru hattından 63 mm yan branşman almak için kullanılır.;tarla sulama, geniş peyzaj alanları, endüstriyel sulama;63x63x63 ölçülerinde, 63 mm PE ana hattı üç kola ayıran geçmeli eşit T kaplindir.
ARUKTE75;KAPLİN TE 75X75X75;Arangül; 75X75X75;Kaplin;526,24;PE eşit T kaplin;75 mm PE boru hattından 75 mm yan branşman almak için kullanılır.;tarla sulama ana hatları, büyük peyzaj, endüstriyel sulama;75x75x75 ölçülerinde, 75 mm PE ana hattı üç kola ayırmak için kullanılan geçmeli eşit T kaplindir.
ARUKTE90;KAPLİN TE 90X90X90;Arangül; 90X90X90;Kaplin;767,35;PE eşit T kaplin;90 mm PE boru hattından 90 mm yan branşman almak için kullanılır.;tarla sulama, büyük peyzaj alanları, endüstriyel sulama sistemleri;90x90x90 ölçülerinde, 90 mm PE ana hattı üç kola ayırmak veya farklı yönlere dağıtmak için kullanılan geçmeli eşit T kaplindir.
S1603;"AYARLI HORTUM EKİ 1""";Sayım;"1""";Hortum Ek Parçaları;89,82;ayarlı hortum eki / rakor;"1"" bahçe hortumlarını birbirine eklemek veya uzatmak için kullanılır.";bahçe hortumu ile manuel sulama, sera ve hobi bahçesi sulaması, temizlik uygulamaları;"1"" çapındaki iki hortumu uç uca bağlayarak hattı uzatmaya yarayan, sızdırmaz ve ayarlı yapıda hortum ek parçasıdır."
S1601;"AYARLI HORTUM EKİ 1/2""";Sayım;"1/2""";Hortum Ek Parçaları;25,66;ayarlı hortum eki / rakor;"1/2"" bahçe hortumlarını birbirine eklemek veya uzatmak için kullanılır.";bahçe hortumu ile manuel sulama, çim ve çiçek sulaması, hobi bahçesi;"1/2"" çapındaki iki hortumu kolayca birleştirerek uzatma imkânı sağlayan, ayarlı sıkmalı hortum ek parçasıdır."
S1602;"AYARLI HORTUM EKİ 3/4""";Sayım;"3/4""";Hortum Ek Parçaları;58,16;ayarlı hortum eki / rakor;"3/4"" bahçe hortumlarını birbirine eklemek veya uzatmak için kullanılır.";bahçe hortumu ile manuel sulama, araç yıkama, temizlik uygulamaları;"3/4"" çapındaki iki hortumu uç uca birleştirip hattı uzatan, sızdırmaz bağlantı sağlayan ayarlı hortum ek parçasıdır."
AHK1016;AYARLI HORTUM KELEPÇESİ 10X16;RB Kelepçe;;Hortum Ek Parçaları;5,65;ayarlı hortum kelepçesi;10–16 mm dış çaplı hortumları nipel veya bağlantı üzerine sıkıca sabitlemek için kullanılır.;damla sulama hortumları, ince bahçe hortumları, mini seralar;10x16 ölçüsünde, 10–16 mm çap aralığındaki hortumların bağlantı noktasına sıkılarak sızdırmazlığı artıran ayarlı metal hortum kelepçesidir.
AHK1319;AYARLI HORTUM KELEPÇESİ 13X19;RB Kelepçe; 13X19;Hortum Ek Parçaları;5,99;ayarlı hortum kelepçesi;13–19 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;bahçe hortumu, damla ve mikro sulama, küçük tesisatlar;13x19 ölçüsünde, 13–19 mm çapındaki hortumlarda kullanılan, tornavida veya anahtar ile sıkılan ayarlı hortum kelepçesidir.
AHK1825;AYARLI HORTUM KELEPÇESİ 18X25;RB Kelepçe; 18X25;Hortum Ek Parçaları;6,47;ayarlı hortum kelepçesi;18–25 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;bahçe hortumu, damla sulama ana hortumları, küçük pompa bağlantıları;18x25 ölçüsünde, 18–25 mm aralığındaki hortumlarda güvenli ve sızdırmaz bağlantı sağlayan ayarlı hortum kelepçesidir.
AHK1926;AYARLI HORTUM KELEPÇESİ 19X26;RB Kelepçe; 19X26;Hortum Ek Parçaları;11,51;ayarlı hortum kelepçesi;19–26 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;bahçe ve sera hortumları, düşük basınçlı tesisatlar;19x26 ölçüsünde, 19–26 mm çaplı hortumlarda kullanılan, korozyona dayanıklı ayarlı hortum kelepçesidir.
AHK2030;AYARLI HORTUM KELEPÇESİ 20X30;RB Kelepçe; 20X30;Hortum Ek Parçaları;11,58;ayarlı hortum kelepçesi;20–30 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;bahçe hortumu, küçük pompa ve filtre giriş-çıkışları;20x30 ölçüsünde, 20–30 mm çapındaki hortumları nipel, rakor veya cihaz bağlantısına sıkıca sabitleyen ayarlı hortum kelepçesidir.
AHK2236;AYARLI HORTUM KELEPÇESİ 23X35;RB Kelepçe; 23X35;Hortum Ek Parçaları;11,78;ayarlı hortum kelepçesi;22–36 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;bahçe ve tarla hortumları, pompa emiş/deşarj hortumları;23x35 ölçüsünde, 22–36 mm çap aralığındaki hortumlarda sağlam tutuş ve sızdırmazlık sağlayan ayarlı hortum kelepçesidir.
AHK2540;AYARLI HORTUM KELEPÇESİ 25X40;RB Kelepçe; 25X40;Hortum Ek Parçaları;12,19;ayarlı hortum kelepçesi;25–40 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;yüksek debili bahçe hortumları, tarla sulama hortumları, pompa bağlantıları;25x40 ölçüsünde, 25–40 mm çaplı hortumları nipel veya muf üzerine sıkıca sabitleyen ayarlı hortum kelepçesidir.
AHK2542;AYARLI HORTUM KELEPÇESİ 25X42;RB Kelepçe; 25X42;Hortum Ek Parçaları;12,19;ayarlı hortum kelepçesi;25–42 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;bahçe ve tarla sulama hortumları, pompa emiş-deşarj hatları;25x42 ölçüsünde, 25–42 mm çap aralığındaki hortumlarda kullanılan, geniş ayar aralıklı hortum kelepçesidir.
AHK2848;AYARLI HORTUM KELEPÇESİ 28X48;RB Kelepçe; 28X48;Hortum Ek Parçaları;12,73;ayarlı hortum kelepçesi;28–48 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;tarla sulama hortumları, endüstriyel hortum uygulamaları;28x48 ölçüsünde, 28–48 mm çaplı hortumlarda yüksek sıkma kuvveti ve sızdırmazlık sağlayan ayarlı hortum kelepçesidir.
AHK3045;AYARLI HORTUM KELEPÇESİ 30x45;RB Kelepçe; 30x45;Hortum Ek Parçaları;12,73;ayarlı hortum kelepçesi;30–45 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;tarla ve bahçe sulama hortumları, pompa bağlantıları;30x45 ölçüsünde, 30–45 mm çap aralığındaki hortumları güvenli şekilde sıkan ayarlı hortum kelepçesidir.
AHK3251;AYARLI HORTUM KELEPÇESİ 32X51;RB Kelepçe; 32X51;Hortum Ek Parçaları;14,20;ayarlı hortum kelepçesi;32–51 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;büyük çaplı bahçe hortumları, tarla sulama, endüstriyel hortumlar;32x51 ölçüsünde, 32–51 mm çaplı hortumlarda kullanılan, ağır hizmet tipi ayarlı hortum kelepçesidir.
AHK3858;AYARLI HORTUM KELEPÇESİ 38X58;RB Kelepçe; 38X58;Hortum Ek Parçaları;17,09;ayarlı hortum kelepçesi;38–58 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;tarla sulama hortumları, pompa emiş hortumları, endüstriyel uygulamalar;38x58 ölçüsünde, 38–58 mm çap aralığındaki hortumlarda güçlü sıkma sağlayan ayarlı hortum kelepçesidir.
AHK4060;AYARLI HORTUM KELEPÇESİ 40X60;RB Kelepçe; 40X60;Hortum Ek Parçaları;15,55;ayarlı hortum kelepçesi;40–60 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;büyük çaplı sulama hortumları, pompa ve tanker hortumları;40x60 ölçüsünde, 40–60 mm çaplı hortumlarda kullanılan, geniş ayar aralıklı ağır hizmet hortum kelepçesidir.
AHK4464;AYARLI HORTUM KELEPÇESİ 44X64;RB Kelepçe; 44X64;Hortum Ek Parçaları;19,02;ayarlı hortum kelepçesi;44–64 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;tarımsal sulama hortumları, endüstriyel hortumlar;44x64 ölçüsünde, 44–64 mm çap aralığındaki hortumlara yüksek sıkma gücü sağlayan ayarlı hortum kelepçesidir.
AHK5172;AYARLI HORTUM KELEPÇESİ 51X72;RB Kelepçe; 51X72;Hortum Ek Parçaları;19,27;ayarlı hortum kelepçesi;51–72 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;büyük çaplı tarla sulama hortumları, pompa ve tanker sistemleri;51x72 ölçüsünde, 51–72 mm çaplı hortumlarda kullanılan, ağır şartlara uygun ayarlı hortum kelepçesidir.
AHK6080-2;AYARLI HORTUM KELEPÇESİ 60X80;RB Kelepçe; 60X80;Hortum Ek Parçaları;19,91;ayarlı hortum kelepçesi;60–80 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;yüksek debili endüstriyel hortumlar, tarımsal sulama ve drenaj hatları;60x80 ölçüsünde, 60–80 mm çap aralığındaki büyük hortumlarda kullanılan, çift civatalı sağlam hortum kelepçesidir.
AHK6582;AYARLI HORTUM KELEPÇESİ 65X82;RB Kelepçe; 65X82;Hortum Ek Parçaları;22,30;ayarlı hortum kelepçesi;65–82 mm dış çaplı hortumları bağlantı üzerine sabitlemek için kullanılır.;tarımsal sulama hortumları, pompa ve tanker hortumları, endüstriyel kullanım;65x82 ölçüsünde, 65–82 mm çaplı hortumlara yüksek sıkma kuvveti uygulayan ayarlı hortum kelepçesidir.
